"Date","Price","Open","High","Low","Vol.","Change %"
"31-03-2026","93.953","94.368","94.380","93.810","","-0.45%"
"30-03-2026","94.379","93.048","95.220","93.032","","-0.43%"
"27-03-2026","94.782","94.298","94.988","94.116","","0.52%"
"26-03-2026","94.288","93.800","94.301","93.800","","0.41%"
"25-03-2026","93.906","93.990","94.214","93.763","","-0.15%"
"24-03-2026","94.043","93.505","94.141","93.505","","0.89%"
"23-03-2026","93.212","93.743","94.137","92.911","","-0.51%"
"20-03-2026","93.692","92.924","93.826","92.834","","0.84%"
"19-03-2026","92.911","93.027","93.384","92.859","","-0.23%"
"18-03-2026","93.129","92.407","93.129","92.340","","0.79%"
"17-03-2026","92.395","92.240","92.491","92.240","","0.14%"
"16-03-2026","92.264","92.449","92.483","92.147","","-0.30%"
"13-03-2026","92.540","92.366","92.572","92.240","","0.16%"
"12-03-2026","92.388","92.243","92.506","92.055","","0.17%"
"11-03-2026","92.229","91.899","92.258","91.837","","0.28%"
"10-03-2026","91.974","91.851","92.204","91.674","","-0.20%"
"09-03-2026","92.155","92.330","92.386","92.113","","0.24%"
"06-03-2026","91.933","91.662","92.012","91.570","","0.16%"
"05-03-2026","91.787","92.132","92.165","91.335","","-0.36%"
"04-03-2026","92.123","92.012","92.311","91.880","","0.08%"
"03-03-2026","92.050","91.560","92.239","91.560","","0.51%"